investor_id,entity_name_original,entity_name_standard,entity_type_standardized,entity_name_status,transaction_party_count,investee_company_count,investor_review_status
STD-001282-ISSUER,三联锻造,三联锻造,COMPANY,RECOVERED_ACCEPTED_NAME,0,0,AUTO_GENERATED_PENDING_REVIEW
STD-301581-ISSUER,黄山谷捷,黄山谷捷,COMPANY,RECOVERED_ACCEPTED_NAME,0,0,AUTO_GENERATED_PENDING_REVIEW
STD-603418-ISSUER,友升股份,友升股份,COMPANY,RECOVERED_ACCEPTED_NAME,0,0,AUTO_GENERATED_PENDING_REVIEW
STD-688758-ISSUER,赛分科技,赛分科技,COMPANY,RECOVERED_ACCEPTED_NAME,0,0,AUTO_GENERATED_PENDING_REVIEW
STD-688775-ISSUER,影石创新,影石创新,COMPANY,RECOVERED_ACCEPTED_NAME,0,0,AUTO_GENERATED_PENDING_REVIEW
STD-920100-ISSUER,三协电机,三协电机,COMPANY,RECOVERED_ACCEPTED_NAME,0,0,AUTO_GENERATED_PENDING_REVIEW
STD-920116-ISSUER,星图测控,星图测控,COMPANY,RECOVERED_ACCEPTED_NAME,0,0,AUTO_GENERATED_PENDING_REVIEW
INV-603418-0009,金浦临港基金,金浦临港基金,FUND,RECOVERED_ACCEPTED_NAME,0,1,AUTO_GENERATED_PENDING_REVIEW
INV-603418-0010,金浦科创基金,金浦科创基金,FUND,RECOVERED_ACCEPTED_NAME,0,1,AUTO_GENERATED_PENDING_REVIEW
STD-920100-PEVC-001,稳正景明,稳正景明,FUND,RECOVERED_ACCEPTED_NAME,1,0,AUTO_GENERATED_PENDING_REVIEW
STD-920100-PEVC-002,长泽创投,长泽创投,FUND,RECOVERED_ACCEPTED_NAME,1,0,AUTO_GENERATED_PENDING_REVIEW
ENT-ISSUER,发行人/云汉芯城,云汉芯城（上海）互联网科技股份有限公司,COMPANY,RECOVERED_ACCEPTED_NAME,0,0,AUTO_GENERATED_PENDING_REVIEW
ENT-001,深圳云汉电子,深圳市云汉电子有限公司,COMPANY,RECOVERED_ACCEPTED_NAME,1,0,AUTO_GENERATED_PENDING_REVIEW
ENT-004,为赛咨询,宁波为赛咨询管理中心（有限合伙）,PARTNERSHIP,RECOVERED_ACCEPTED_NAME,3,1,AUTO_GENERATED_PENDING_REVIEW
ENT-005,力源信息,武汉力源信息技术股份有限公司,COMPANY,RECOVERED_ACCEPTED_NAME,2,1,AUTO_GENERATED_PENDING_REVIEW
ENT-006,东方富海,东方富海（上海）创业投资企业（有限合伙）,PARTNERSHIP,RECOVERED_ACCEPTED_NAME,2,1,AUTO_GENERATED_PENDING_REVIEW
ENT-007,芜湖富海,芜湖富海浩研创业投资基金（有限合伙）,PARTNERSHIP,RECOVERED_ACCEPTED_NAME,3,1,AUTO_GENERATED_PENDING_REVIEW
ENT-008,深创投,深圳市创新投资集团有限公司,COMPANY,RECOVERED_ACCEPTED_NAME,1,1,AUTO_GENERATED_PENDING_REVIEW
ENT-009,丰利财富,丰利财富（北京）国际资本管理股份有限公司,COMPANY,RECOVERED_ACCEPTED_NAME,2,1,AUTO_GENERATED_PENDING_REVIEW
ENT-010,镇江红土,镇江红土创业投资有限公司,COMPANY,RECOVERED_ACCEPTED_NAME,1,1,AUTO_GENERATED_PENDING_REVIEW
ENT-011,昆山红土,昆山红土高新创业投资有限公司,COMPANY,RECOVERED_ACCEPTED_NAME,1,1,AUTO_GENERATED_PENDING_REVIEW
ENT-012,富海深湾,富海深湾（深圳）移动创新私募创业投资基金合伙企业（有限合伙）,PARTNERSHIP,RECOVERED_ACCEPTED_NAME,1,1,AUTO_GENERATED_PENDING_REVIEW
ENT-013,天健创投,厦门富海天健创业投资合伙企业（有限合伙）,PARTNERSHIP,RECOVERED_ACCEPTED_NAME,1,1,AUTO_GENERATED_PENDING_REVIEW
ENT-014,国科瑞华,北京国科瑞华战略性新兴产业投资基金（有限合伙）,PARTNERSHIP,RECOVERED_ACCEPTED_NAME,1,1,AUTO_GENERATED_PENDING_REVIEW
ENT-015,CASREV FUND,CASREV FUND II-USD L.P.,PARTNERSHIP,RECOVERED_ACCEPTED_NAME,1,1,AUTO_GENERATED_PENDING_REVIEW
