event_id,company_id,source_event_id,event_sequence,event_date_original,event_date_standardized,date_precision,event_type_source,event_type_standardized,in_scope_financing_flag,financing_round_flag,scope_exclusion_reason,scope_basis,registered_capital_before,registered_capital_before_status,registered_capital_after,registered_capital_after_status,financing_amount_10k_cny,financing_amount_original_text,financing_amount_status,amount_source_type,financing_amount_original_currency,financing_amount_original_unit,financing_amount_standard_unit,primary_evidence_id,record_origin,review_status
EVT-001282-0001,1282,EVT-001282-0001,1,2004-06-18,2004-06-18,DAY,LIMITED_COMPANY_ESTABLISHMENT,ESTABLISHMENT,False,False,OUT_OF_SCOPE_EVENT_TYPE:LIMITED_COMPANY_ESTABLISHMENT,WEEK7_UNIFIED_CALIBER_EXCLUSION,,NOT_DISCLOSED,,NOT_DISCLOSED,,,NOT_APPLICABLE,,,,,EVD-001282-0001-01,SOURCE_GOLD,FINAL_APPROVED
EVT-001282-0002,1282,EVT-001282-0002,2,2018-11,2018-11,MONTH,OVERALL_CHANGE,OVERALL_CHANGE,False,False,OUT_OF_SCOPE_EVENT_TYPE:OVERALL_CHANGE,WEEK7_UNIFIED_CALIBER_EXCLUSION,8150.0,DISCLOSED_COMPLETE,8498.0,DISCLOSED_COMPLETE,,,NOT_APPLICABLE,,,,,EVD-001282-0003-01,SOURCE_GOLD,FINAL_APPROVED
EVT-001282-0003,1282,EVT-001282-0003,3,2019-12,2019-12,MONTH,CAPITAL_INCREASE,CAPITAL_INCREASE,True,True,,WEEK7_UNIFIED_CALIBER_ACCEPTED,8150.0,DISCLOSED_COMPLETE,8498.0,DISCLOSED_COMPLETE,1566.0,,DISCLOSED_COMPLETE,CALCULATED,CNY,万元,万元人民币,EVD-001282-0004-01,SOURCE_GOLD,FINAL_APPROVED
EVT-301581-0001,301581,EVT-301581-0001,1,2012-06,2012-06,MONTH,LIMITED_COMPANY_ESTABLISHMENT,ESTABLISHMENT,False,False,OUT_OF_SCOPE_EVENT_TYPE:LIMITED_COMPANY_ESTABLISHMENT,WEEK7_UNIFIED_CALIBER_EXCLUSION,,NOT_DISCLOSED,,NOT_DISCLOSED,,,NOT_APPLICABLE,,,,,EVD-301581-0001-01,SOURCE_GOLD,FINAL_APPROVED
EVT-301581-0002,301581,EVT-301581-0002,2,2021-04,2021-04,MONTH,ABSORPTION_MERGER,OTHER,False,False,OUT_OF_SCOPE_EVENT_TYPE:ABSORPTION_MERGER,WEEK7_UNIFIED_CALIBER_EXCLUSION,,NOT_APPLICABLE,,NOT_APPLICABLE,,,NOT_APPLICABLE,,,,,EVD-301581-0002-01,SOURCE_GOLD,FINAL_APPROVED
EVT-301581-0003,301581,EVT-301581-0003,3,2021-04,2021-04,MONTH,EQUITY_TRANSFER,EQUITY_TRANSFER,False,False,SECONDARY_TRANSFER_ONLY_UNLESS_COMPOUND_WITH_FINANCING,WEEK7_UNIFIED_CALIBER_EXCLUSION,,NOT_APPLICABLE,,NOT_APPLICABLE,,,NOT_APPLICABLE,,,,,EVD-301581-0003-01,SOURCE_GOLD,FINAL_APPROVED
EVT-301581-0004,301581,EVT-301581-0004,4,2021-11,2021-11,MONTH,CAPITAL_INCREASE,CAPITAL_INCREASE,True,True,,WEEK7_UNIFIED_CALIBER_ACCEPTED,,NOT_DISCLOSED,,NOT_DISCLOSED,11530.285394,,DISCLOSED_COMPLETE,CALCULATED,CNY,万元,万元人民币,EVD-301581-0004-01,SOURCE_GOLD,FINAL_APPROVED
EVT-301581-0005,301581,EVT-301581-0005,5,2022-05,2022-05,MONTH,CAPITAL_INCREASE,CAPITAL_INCREASE,True,True,,WEEK7_UNIFIED_CALIBER_ACCEPTED,1714.2857,DISCLOSED_COMPLETE,1804.5113,DISCLOSED_COMPLETE,2124.81288,,DISCLOSED_COMPLETE,CALCULATED,CNY,万元,万元人民币,EVD-301581-0005-01,SOURCE_GOLD,FINAL_APPROVED
EVT-301581-0006,301581,EVT-301581-0006,6,2022-09,2022-09,MONTH,OVERALL_CHANGE,OVERALL_CHANGE,False,False,OUT_OF_SCOPE_EVENT_TYPE:OVERALL_CHANGE,WEEK7_UNIFIED_CALIBER_EXCLUSION,,NOT_DISCLOSED,,NOT_DISCLOSED,,,NOT_APPLICABLE,,,,,EVD-301581-0006-01,SOURCE_GOLD,FINAL_APPROVED
EVT-603418-0001,603418,EVT-603418-0001,1,1992-12-04,1992-12-04,DAY,LIMITED_COMPANY_ESTABLISHMENT,ESTABLISHMENT,False,False,OUT_OF_SCOPE_EVENT_TYPE:LIMITED_COMPANY_ESTABLISHMENT,WEEK7_UNIFIED_CALIBER_EXCLUSION,,NOT_DISCLOSED,,NOT_DISCLOSED,,,NOT_APPLICABLE,,,,,EVD-603418-0001-01,SOURCE_GOLD,FINAL_APPROVED
