path_id,path_edge_id,edge_sequence,company_id,from_entity_id,to_entity_id,edge_type_source,edge_type_standardized,ownership_ratio,ownership_ratio_status,equity_path_flag,investor_entity_id,event_id,transaction_id,entry_method,investment_level,direct_indirect,transaction_date,date_precision,evidence_ids,source_path_status,standardized_path_status,standardization_basis,review_status
PATH-603418-00006,PATH-603418-00006-E01,1,603418,INV-603418-0010,STD-603418-ISSUER,CAPITAL_INCREASE_ENTRY,CAPITAL_INCREASE,,NOT_DISCLOSED,True,INV-603418-0010,EVT-603418-0003,TRX-603418-0003-01,CAPITAL_INCREASE_ENTRY,ISSUER_LEVEL,DIRECT,2020-09,MONTH,EVD-603418-0004-01;EVD-603418-0004-02,AUTO_IDENTIFIED,CONFIRMED,PE/VC Paths Gold PASSED + Week7 PEVC status overlay,FINAL_APPROVED
PATH-603418-00007,PATH-603418-00007-E01,1,603418,INV-603418-0009,STD-603418-ISSUER,CAPITAL_INCREASE_ENTRY,CAPITAL_INCREASE,,NOT_DISCLOSED,True,INV-603418-0009,EVT-603418-0003,TRX-603418-0003-01,CAPITAL_INCREASE_ENTRY,ISSUER_LEVEL,DIRECT,2020-09,MONTH,EVD-603418-0004-01;EVD-603418-0004-02,AUTO_IDENTIFIED,CONFIRMED,PE/VC Paths Gold PASSED + Week7 PEVC status overlay,FINAL_APPROVED
PATH-001,EDGE-001,1,301563,ENT-004,ENT-ISSUER,DIRECT_SHAREHOLDING,EQUITY_HOLDING,,NOT_DISCLOSED,True,ENT-004,CE-003,,,ISSUER_LEVEL,DIRECT,2014-06,MONTH,EVD-008,确认通过,CONFIRMED,Stage8 path edge review_status=确认通过,FINAL_APPROVED
PATH-002,EDGE-002,1,301563,ENT-005,ENT-ISSUER,DIRECT_SHAREHOLDING,EQUITY_HOLDING,,NOT_DISCLOSED,True,ENT-005,CE-004,,,ISSUER_LEVEL,DIRECT,2014-08,MONTH,EVD-013,确认通过,CONFIRMED,Stage8 path edge review_status=确认通过,FINAL_APPROVED
PATH-003,EDGE-003,1,301563,ENT-006,ENT-ISSUER,DIRECT_SHAREHOLDING,EQUITY_HOLDING,,NOT_DISCLOSED,True,ENT-006,CE-004,,,ISSUER_LEVEL,DIRECT,2014-08,MONTH,EVD-014,确认通过,CONFIRMED,Stage8 path edge review_status=确认通过,FINAL_APPROVED
PATH-004,EDGE-004,1,301563,ENT-007,ENT-ISSUER,DIRECT_SHAREHOLDING,EQUITY_HOLDING,,NOT_DISCLOSED,True,ENT-007,CE-004,,,ISSUER_LEVEL,DIRECT,2014-08,MONTH,EVD-013,确认通过,CONFIRMED,Stage8 path edge review_status=确认通过,FINAL_APPROVED
PATH-005,EDGE-005,1,301563,ENT-008,ENT-ISSUER,DIRECT_SHAREHOLDING,EQUITY_HOLDING,,NOT_DISCLOSED,True,ENT-008,CE-007,,,ISSUER_LEVEL,DIRECT,2015-08,MONTH,EVD-003,确认通过,CONFIRMED,Stage8 path edge review_status=确认通过,FINAL_APPROVED
PATH-006,EDGE-006,1,301563,ENT-009,ENT-ISSUER,DIRECT_SHAREHOLDING,EQUITY_HOLDING,,NOT_DISCLOSED,True,ENT-009,CE-007,,,ISSUER_LEVEL,DIRECT,2015-08,MONTH,EVD-004;EVD-025,确认通过,CONFIRMED,Stage8 path edge review_status=确认通过,FINAL_APPROVED
PATH-007,EDGE-007,1,301563,ENT-010,ENT-ISSUER,DIRECT_SHAREHOLDING,EQUITY_HOLDING,,NOT_DISCLOSED,True,ENT-010,CE-007,,,ISSUER_LEVEL,DIRECT,2015-08,MONTH,EVD-003,确认通过,CONFIRMED,Stage8 path edge review_status=确认通过,FINAL_APPROVED
PATH-008,EDGE-008,1,301563,ENT-011,ENT-ISSUER,DIRECT_SHAREHOLDING,EQUITY_HOLDING,,NOT_DISCLOSED,True,ENT-011,CE-007,,,ISSUER_LEVEL,DIRECT,2015-08,MONTH,EVD-003,确认通过,CONFIRMED,Stage8 path edge review_status=确认通过,FINAL_APPROVED
